personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
412321,7935122852,Government official,"Sen. Mark Warner [D, VA]",VA,,451,4,4,308,3,3,323,4,4,419,1,1
400623,88904724121,Government official,"Rep. Debbie Wasserman Schultz [D, FL-20]",FL,20,295,5,1,7,0,0,183,0,0,416,6,2
400422,117483585008,Government official,"Rep. Maxine Waters [D, CA-35]",CA,35,180,2,0,4,0,0,72,0,0,256,5,0
400424,191136754250537,Government official,"Rep. Melvin Watt [D, NC-12]",NC,12,19,0,0,1,0,0,7,0,0,18,0,0
400425,129514917081997,Government official,"Rep. Henry Waxman [D, CA-30]",CA,30,2,0,0,2,0,0,1,0,0,1,0,0
412249,7942857199,Politician,"Sen. Jim Webb [D, VA]",VA,,121,1,1,12,0,0,43,0,0,191,1,1
412410,188572961157305,Public figure,"Rep. Daniel Webster [R, FL-8]",FL,8,75,1,0,0,0,0,76,0,0,161,1,0
412239,72680720883,Government official,"Rep. Peter Welch [D, VT-0]",VT,0,413,6,3,199,11,9,290,4,3,681,4,0
412413,153872224661543,Public figure,"Rep. Allen West [R, FL-22]",FL,22,919,8,0,0,0,0,290,3,0,1951,33,0
400627,71389451419,Government official,"Rep. Lynn Westmoreland [R, GA-3]",GA,3,261,1,0,0,0,0,190,1,0,398,1,0
412247,194172833926853,Government official,"Sen. Sheldon Whitehouse [D, RI]",RI,,237,6,5,113,3,2,114,2,2,332,15,15
400431,91115765425,Government official,"Rep. Edward Whitfield [R, KY-1]",KY,1,126,4,1,0,0,0,75,4,0,209,2,2
400432,158401580882385,Government official,"Sen. Roger Wicker [R, MS]",MS,,331,6,2,375,6,2,95,1,0,192,0,0
400433,70150469414,Government official,"Rep. Addison Wilson [R, SC-2]",SC,2,531,9,0,342,12,0,255,0,0,666,20,0
412412,162327487151626,Government official,"Rep. Frederica Wilson [D, FL-17]",FL,17,60,0,0,1,0,0,14,0,0,73,0,0
412255,38932542633,Government official,"Rep. Rob Wittman [R, VA-1]",VA,1,323,1,1,339,0,0,370,1,1,618,1,1
400435,335759964938,Government official,"Rep. Frank Wolf [R, VA-10]",VA,10,248,3,0,0,0,0,130,10,0,296,3,0
412402,135898413136490,Government official,"Rep. Steve Womack [R, AR-3]",AR,3,285,2,2,0,0,0,390,1,1,850,2,2
412416,172573036140374,Government official,"Rep. Rob Woodall [R, GA-7]",GA,7,112,2,0,1,0,0,86,2,0,183,1,0
400436,147062945319541,Government official,"Rep. Lynn Woolsey [D, CA-6]",CA,6,324,6,2,132,6,2,262,0,0,654,16,5
300100,54787697857,Politician,"Sen. Ron Wyden [D, OR]",OR,,307,4,1,386,12,1,58,0,0,141,1,0
412211,214258646163,Government official,"Rep. John Yarmuth [D, KY-3]",KY,3,509,5,1,266,6,2,272,1,1,765,15,0
412430,154026694650252,Government official,"Rep. Kevin Yoder [R, KS-3]",KS,3,423,7,4,0,0,0,596,5,4,1318,8,6
400440,7476269851,Government official,"Rep. Donald Young [R, AK-0]",AK,0,284,4,3,0,0,0,266,30,30,723,8,7
412428,186203844738421,Government official,"Rep. Todd Young [R, IN-9]",IN,9,279,4,2,181,5,3,275,8,8,629,2,1
