personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400638,102176491967,Government official,"Rep. Russ Carnahan [D, MO-3]",MO,3,87,0,0,3,0,0,29,0,0,63,0,0
300019,124891107521733,Government official,"Sen. Thomas Carper [D, DE]",DE,,290,2,1,0,0,0,318,2,1,772,12,12
412258,123884330964019,Government official,"Rep. André Carson [D, IN-7]",IN,7,231,1,0,5,0,0,156,1,0,546,0,0
400068,116922358348527,Government official,"Rep. John Carter [R, TX-31]",TX,31,337,8,4,288,16,13,201,6,5,342,8,3
412246,107749545944874,Government official,"Sen. Robert Casey [D, PA]",PA,,362,7,3,0,0,0,303,2,0,661,17,13
412195,6888315697,Politician,"Rep. Kathy Castor [D, FL-11]",FL,11,482,4,0,349,3,0,109,0,0,444,10,0
400071,204705339555378,Government official,"Rep. Steven Chabot [R, OH-1]",OH,1,110,8,2,100,7,1,32,1,1,171,12,1
412270,212373730233,Politician,"Rep. Jason Chaffetz [R, UT-3]",UT,3,380,5,0,240,3,0,270,0,0,594,5,0
400073,138013351189,Government official,"Del. Donna Christensen [D, VI-0]",VI,0,172,0,0,47,0,0,76,0,0,280,0,0
412379,41228315130,Government official,"Rep. Judy Chu [D, CA-32]",CA,32,381,3,0,16,0,0,250,1,0,794,2,0
412470,186949061341027,Government official,"Rep. David Cicilline [D, RI-1]",RI,1,231,2,1,83,1,1,209,3,0,647,18,0
412440,184181851603316,Politician,"Rep. Hansen Clarke [D, MI-13]",MI,13,409,15,1,181,11,1,203,14,0,631,11,0
412221,135031389892682,Government official,"Rep. Yvette Clarke [D, NY-11]",NY,11,112,1,0,1,0,0,57,2,0,249,0,0
400639,7954512692,Government official,"Rep. Emanuel Cleaver [D, MO-5]",MO,5,377,2,0,0,0,0,199,3,0,573,1,0
400075,127744320598870,Government official,"Rep. James Clyburn [D, SC-6]",SC,6,230,4,0,0,0,0,126,2,0,309,2,0
402675,180671148633644,Government official,"Sen. Daniel Coats [R, IN]",IN,,303,5,3,210,5,3,278,2,2,436,2,0
400076,208742429162356,Government official,"Rep. Howard Coble [R, NC-6]",NC,6,154,8,1,91,4,0,58,1,1,348,36,0
400576,90844078615,Public figure,"Sen. Thomas Coburn [R, OK]",OK,,255,6,1,317,7,1,71,3,2,249,2,0
412271,366142384492,Government official,"Rep. Mike Coffman [R, CO-6]",CO,6,307,2,1,10,1,0,288,2,1,698,6,6
