personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400220,134325379926458,"Rep. Steve King [R, IA-5]",IA,5,694,7,0,0,0,0,509,3,0,1796,20,0
400221,6914617307,"Rep. Jack Kingston [R, GA-1]",GA,1,275,1,0,0,0,0,179,1,0,445,0,0
412421,187811174579106,"Rep. Adam Kinzinger [R, IL-11]",IL,11,505,2,2,1,0,0,538,7,7,1308,25,25
400222,116381528428230,"Sen. Mark Kirk [R, IL]",IL,,422,6,5,0,0,0,560,6,5,1440,13,13
412287,11156132835,"Rep. Larry Kissell [D, NC-8]",NC,8,57,0,0,0,0,0,28,0,0,65,0,0
400224,16149655054,"Rep. John Kline [R, MN-2]",MN,2,425,2,1,257,3,1,326,0,0,748,1,1
412242,7606381190,"Sen. Amy Klobuchar [D, MN]",MN,,110,1,1,4,0,0,17,0,0,123,1,1
300061,312492579015,"Sen. Herbert Kohl [D, WI]",WI,,406,4,0,321,5,0,156,0,0,506,12,0
400227,147050393077,"Rep. Dennis Kucinich [D, OH-10]",OH,10,247,2,0,0,0,0,169,1,0,371,1,0
300062,6949597461,"Sen. Jon Kyl [R, AZ]",AZ,,184,3,0,0,0,0,73,1,0,280,2,0
400235,112386998809862,"Rep. Steven LaTourette [R, OH-14]",OH,14,87,0,0,0,0,0,149,0,0,278,0,0
412419,180970951936493,"Rep. Raúl Labrador [R, ID-1]",ID,1,180,2,1,137,8,7,64,1,1,199,9,0
412191,45059452286,"Rep. Doug Lamborn [R, CO-5]",CO,5,257,2,1,0,0,0,174,3,3,622,21,9
412290,100830109970339,"Rep. Leonard Lance [R, NJ-7]",NJ,7,316,15,0,341,18,0,266,0,0,949,52,0
300063,122518851125820,"Sen. Mary Landrieu [D, LA]",LA,,419,3,1,13,0,0,299,4,1,865,6,0
412433,131618273567984,"Rep. Jeff Landry [R, LA-3]",LA,3,389,2,0,0,0,0,460,3,0,1324,19,0
400230,6578978441,"Rep. James Langevin [D, RI-2]",RI,2,266,0,0,134,0,0,214,0,0,574,0,0
412464,130873066975024,"Rep. James Lankford [R, OK-5]",OK,5,273,2,1,1,0,0,300,0,0,836,3,2
400232,135654683137079,"Rep. Rick Larsen [D, WA-2]",WA,2,274,3,0,165,5,0,353,0,0,842,17,0
400233,6352928631,"Rep. John Larson [D, CT-1]",CT,1,161,1,1,7,0,0,124,0,0,347,1,1
400234,700499667,"Rep. Thomas Latham [R, IA-4]",IA,4,0,0,0,0,0,0,0,0,0,0,0,0
300064,121816241167991,"Sen. Frank Lautenberg [D, NJ]",NJ,,336,5,5,318,3,3,160,4,4,376,0,0
300065,178569152181267,"Sen. Patrick Leahy [D, VT]",VT,,305,10,2,238,24,15,126,3,3,378,25,0
400237,92190287786,"Rep. Barbara Lee [D, CA-9]",CA,9,509,13,1,271,13,2,265,14,3,677,15,0
412495,178081365556898,"Sen. Mike Lee [R, UT]",UT,,378,3,2,0,0,0,312,1,0,805,2,2
300066,7481814545,"Sen. Carl Levin [D, MI]",MI,,167,1,1,1,0,0,43,0,0,189,2,2
400240,82737208404,"Rep. John Lewis [D, GA-5]",GA,5,273,1,0,6,0,0,128,1,0,366,0,0
300067,7816456174,"Sen. Joseph Lieberman [I, CT]",CT,,231,1,0,3,0,0,125,1,0,364,0,0
400630,103286879730089,"Rep. Daniel Lipinski [D, IL-3]",IL,3,156,1,0,0,0,0,168,1,0,393,0,0
412209,291731316748,"Rep. David Loebsack [D, IA-2]",IA,2,135,0,0,0,0,0,81,0,0,219,0,0
400245,221191600719,"Rep. Zoe Lofgren [D, CA-16]",CA,16,140,0,0,0,0,0,68,0,0,278,0,0
412445,139631049438354,"Rep. Billy Long [R, MO-7]",MO,7,45,1,1,3,0,0,19,0,0,41,1,1
400246,158290607551599,"Rep. Nita Lowey [D, NY-18]",NY,18,118,1,1,62,5,5,48,0,0,137,1,1
400247,7872057395,"Rep. Frank Lucas [R, OK-3]",OK,3,147,0,0,0,0,0,99,0,0,203,0,0
412292,1130126132,"Rep. Blaine Luetkemeyer [R, MO-9]",MO,9,130,0,0,151,0,0,5,0,0,12,0,0
300070,28566300472,"Sen. Richard Lugar [R, IN]",IN,,357,2,2,0,0,0,346,3,3,885,0,0
412293,112962521120,"Rep. Ben Luján [D, NM-3]",NM,3,226,2,1,0,0,0,116,1,0,380,6,6
400617,49069022814,"Rep. Daniel Lungren [R, CA-3]",CA,3,329,8,2,331,13,1,242,0,0,652,42,5
400249,133720816696865,"Rep. Stephen Lynch [D, MA-9]",MA,9,70,0,0,21,0,0,21,0,0,136,0,0
400622,6922949219,"Rep. Connie Mack [R, FL-14]",FL,14,554,6,1,347,4,1,240,0,0,526,17,1
400251,7835151610,"Rep. Carolyn Maloney [D, NY-14]",NY,14,301,0,0,1,0,0,173,0,0,607,0,0
400252,7109275891,"Rep. Donald Manzullo [R, IL-16]",IL,16,348,6,1,314,29,15,291,14,14,659,28,3
400656,6349487899,"Rep. Kenny Marchant [R, TX-24]",TX,24,206,2,2,2,0,0,29,3,3,445,1,1
412468,144408762280226,"Rep. Thomas Marino [R, PA-10]",PA,10,206,1,0,162,0,0,234,0,0,501,1,0
400253,6846731378,"Rep. Edward Markey [D, MA-7]",MA,7,370,4,0,0,0,0,335,2,0,872,7,0
400255,131888123517015,"Rep. Jim Matheson [D, UT-2]",UT,2,225,1,1,0,0,0,173,1,1,449,0,0
300071,6425923706,"Sen. John McCain [R, AZ]",AZ,,304,0,0,2,0,0,8,0,0,775,0,0
412190,51052893175,"Rep. Kevin McCarthy [R, CA-22]",CA,22,376,1,0,6,0,0,531,1,0,1151,0,0
412243,131498087618,"Sen. Claire McCaskill [D, MO]",MO,,234,1,1,388,2,2,171,0,0,166,0,0
400654,6355254859,"Rep. Michael McCaul [R, TX-10]",TX,10,324,6,1,320,4,1,215,1,0,477,5,0
412295,81125319109,"Rep. Tom McClintock [R, CA-4]",CA,4,228,2,0,6,0,0,104,1,0,278,3,0
300072,123994667639233,"Sen. Mitch McConnell [R, KY]",KY,,275,7,3,0,0,0,94,7,1,583,28,14
400260,11075270687,"Rep. Thaddeus McCotter [R, MI-11]",MI,11,393,2,0,0,0,0,212,1,0,580,2,0
400262,246418928093,"Rep. James McDermott [D, WA-7]",WA,7,240,6,2,133,6,3,80,2,1,221,13,7
400644,8045519803,"Rep. Patrick McHenry [R, NC-10]",NC,10,249,9,1,305,6,1,260,1,1,564,9,0
400266,340903514856,"Rep. Mike McIntyre [D, NC-7]",NC,7,216,0,0,0,0,0,316,0,0,657,0,0
400267,8138529578,"Rep. Howard McKeon [R, CA-25]",CA,25,351,0,0,280,0,0,278,0,0,561,0,0
412487,130377260362609,"Rep. David McKinley [R, WV-1]",WV,1,226,12,0,211,19,0,79,1,0,764,55,0
400659,321618789771,"Rep. Cathy McMorris Rodgers [R, WA-5]",WA,5,445,6,0,391,11,0,277,0,0,827,48,0
412189,6553468980,"Rep. Jerry McNerney [D, CA-11]",CA,11,370,1,1,304,1,1,109,1,1,325,3,3
400271,6818717502,"Rep. Gregory Meeks [D, NY-6]",NY,6,55,0,0,64,0,0,0,0,0,1,0,0
400272,349744811357,"Sen. Robert Menéndez [D, NJ]",NJ,,330,2,2,0,0,0,201,2,2,525,1,1
412325,74374931545,"Sen. Jeff Merkley [D, OR]",OR,,378,8,3,370,7,3,81,0,0,277,24,1
400273,101251529419,"Rep. John Mica [R, FL-7]",FL,7,237,6,1,248,7,3,66,2,1,229,1,0
400274,131279995382,"Rep. Michael Michaud [D, ME-2]",ME,2,263,2,1,0,0,0,166,1,1,424,1,0
400276,210401648605,"Rep. Candice Miller [R, MI-10]",MI,10,223,2,1,0,0,0,162,2,1,348,0,0
400277,105352226181045,"Rep. Gary Miller [R, CA-42]",CA,42,76,0,0,0,0,0,44,0,0,133,0,0
400279,66367876671,"Rep. Jeff Miller [R, FL-1]",FL,1,340,1,0,291,0,0,446,0,0,710,12,0
400280,173843222653694,"Rep. Bradley Miller [D, NC-13]",NC,13,41,1,1,0,0,0,24,1,1,82,11,11
400661,58864029545,"Rep. Gwen Moore [D, WI-4]",WI,4,359,6,0,286,4,0,74,0,0,254,6,0
400283,100123453059,"Rep. James Moran [D, VA-8]",VA,8,208,14,1,5,0,0,70,8,1,268,15,0
400284,171578807105,"Sen. Jerry Moran [R, KS]",KS,,450,7,3,320,7,3,222,2,2,586,21,3
412474,188649667827713,"Rep. Mick Mulvaney [R, SC-5]",SC,5,316,6,1,249,7,7,470,17,16,793,66,34
300075,25271170290,"Sen. Lisa Murkowski [R, AK]",AK,,415,2,2,0,0,0,250,21,21,724,1,1
400285,105769762798552,"Rep. Tim Murphy [R, PA-18]",PA,18,272,19,1,253,29,0,152,4,0,847,79,1
300076,131182018871,"Sen. Patty Murray [D, WA]",WA,,177,2,2,2,0,0,11,0,0,259,3,3
400288,6196229919,"Rep. Sue Myrick [R, NC-9]",NC,9,346,21,1,403,33,0,243,11,0,936,97,1
400289,78291598977,"Rep. Jerrold Nadler [D, NY-8]",NY,8,187,3,0,0,0,0,178,1,0,406,3,0
400290,163108420409412,"Rep. Grace Napolitano [D, CA-38]",CA,38,91,0,0,49,0,0,27,0,0,92,0,0
400291,388547605724,"Rep. Richard Neal [D, MA-2]",MA,2,299,0,0,163,0,0,134,0,0,589,0,0
300077,6226702589,"Sen. Ben Nelson [D, NE]",NE,,313,1,1,0,0,0,261,8,8,572,1,1
300078,22515581608,"Sen. Bill Nelson [D, FL]",FL,,334,3,3,387,4,4,88,9,9,180,15,15
400441,64137294987,"Rep. Randy Neugebauer [R, TX-19]",TX,19,418,7,0,300,15,0,268,5,0,704,30,0
412475,118670721538023,"Rep. Kristi Noem [R, SD-0]",SD,0,353,3,1,244,1,0,341,2,2,767,11,10
400295,61731840657,"Del. Eleanor Norton [D, DC-0]",DC,0,477,5,0,261,7,0,162,0,0,525,21,0
412409,183541871674897,"Rep. Richard Nugent [R, FL-5]",FL,5,136,1,1,0,0,0,129,7,7,365,9,9
400297,1693459598,"Rep. Devin Nunes [R, CA-21]",CA,21,0,0,0,0,0,0,0,0,0,0,0,0
412442,144919278895639,"Rep. Alan Nunnelee [R, MS-1]",MS,1,209,1,1,4,0,0,301,0,0,802,1,1
412302,20718168936,"Rep. Pete Olson [R, TX-22]",TX,22,367,6,3,0,0,0,581,18,9,1320,3,3
400301,135136666500416,"Rep. John Olver [D, MA-1]",MA,1,182,0,0,0,0,0,213,0,0,507,0,0
412383,132985523396856,"Rep. William Owens [D, NY-23]",NY,23,218,1,1,4,0,0,241,1,1,665,2,2
412443,186908658003781,"Rep. Steven Palazzo [R, MS-4]",MS,4,239,2,1,0,0,0,235,3,2,567,4,4
400309,303312929155,"Rep. William Pascrell [D, NJ-8]",NJ,8,213,0,0,0,0,0,116,0,0,338,0,0
412492,161355253917286,"Sen. Rand Paul [R, KY]",KY,,468,5,2,0,0,0,281,3,1,999,17,14
400311,6233046685,"Rep. Ronald Paul [R, TX-14]",TX,14,364,2,0,274,2,0,102,0,0,303,0,0
412303,128558293848160,"Rep. Erik Paulsen [R, MN-3]",MN,3,165,1,0,1,0,0,80,1,0,249,0,0
400313,180280568662135,"Rep. Steven Pearce [R, NM-2]",NM,2,451,2,1,0,0,0,604,10,10,1277,62,28
400314,86574174383,"Rep. Nancy Pelosi [D, CA-8]",CA,8,316,4,0,431,3,0,87,0,0,234,1,0
400315,6726182861,"Rep. Mike Pence [R, IN-6]",IN,6,735,8,0,272,5,0,261,0,0,885,23,0
412192,86174496459,"Rep. Ed Perlmutter [D, CO-7]",CO,7,235,1,0,0,0,0,169,1,0,420,1,0
412305,88851604323,"Rep. Gary Peters [D, MI-9]",MI,9,102,1,0,0,0,0,45,1,0,131,0,0
400316,6595227967,"Rep. Collin Peterson [D, MN-7]",MN,7,129,1,1,157,1,1,38,0,0,60,0,0
412307,91529332807,"Rep. Chellie Pingree [D, ME-1]",ME,1,258,2,1,0,0,0,118,0,0,343,2,1
400320,94156528752,"Rep. Joseph Pitts [R, PA-16]",PA,16,151,1,0,0,0,0,141,0,0,354,8,0
400321,7894694121,"Rep. Todd Platts [R, PA-19]",PA,19,114,3,2,147,2,2,53,0,0,25,1,0
400652,100000050751226,"Rep. Ted Poe [R, TX-2]",TX,2,0,0,0,0,0,0,0,0,0,0,0,0
412308,53481427529,"Rep. Jared Polis [D, CO-2]",CO,2,397,14,1,326,15,2,100,3,2,397,43,15
412431,101965369880683,"Rep. Mike Pompeo [R, KS-4]",KS,4,192,1,1,0,0,0,134,1,1,473,0,0
400325,45243961073,"Sen. Robert Portman [R, OH]",OH,,452,2,1,0,0,0,200,2,1,750,1,1
412309,100000080395369,"Rep. Bill Posey [R, FL-15]",FL,15,0,0,0,0,0,0,0,0,0,0,0,0
400326,8338225975,"Rep. David Price [D, NC-4]",NC,4,246,2,1,241,0,0,106,2,0,121,2,2
400626,172032960420,"Rep. Tom Price [R, GA-6]",GA,6,340,5,1,20,0,0,288,2,1,704,8,1
300080,9248638978,"Sen. Mark Pryor [D, AR]",AR,,166,2,1,5,0,0,61,1,0,204,1,1
412398,119939744741668,"Rep. Ben Quayle [R, AZ-3]",AZ,3,144,2,1,1,0,0,176,2,0,361,10,1
412331,158963645688,"Rep. Mike Quigley [D, IL-5]",IL,5,376,8,0,207,13,0,208,1,0,876,57,0
400331,357958026910,"Rep. Nick Rahall [D, WV-3]",WV,3,42,0,0,0,0,0,12,0,0,96,0,0
400333,7390589055,"Rep. Charles Rangel [D, NY-15]",NY,15,420,4,0,151,4,0,418,3,0,1001,2,0
412393,102449199835273,"Rep. Tom Reed [R, NY-29]",NY,29,175,1,1,340,3,3,378,1,1,461,1,1
400335,487856380061,"Rep. Dennis Rehberg [R, MT-0]",MT,0,361,5,0,354,6,0,204,0,0,478,12,0
